From	Entry	Reviewed	Organism
ENSG00000181555	Q9BYW2	reviewed	Homo sapiens (Human)
ENSG00000181555	A0A1W2PPX9	unreviewed	Homo sapiens (Human)
ENSG00000181555	A0A8I5KNR2	unreviewed	Homo sapiens (Human)
ENSG00000181555	A0A8I5KPS6	unreviewed	Homo sapiens (Human)
ENSG00000181555	A0A8I5KQS3	unreviewed	Homo sapiens (Human)
ENSG00000181555	A0A8I5KSB8	unreviewed	Homo sapiens (Human)
ENSG00000181555	A0A8I5KV15	unreviewed	Homo sapiens (Human)
ENSG00000181555	A0A8I5KW81	unreviewed	Homo sapiens (Human)
ENSG00000181555	A0A8I5KWD0	unreviewed	Homo sapiens (Human)
ENSG00000181555	A0A8I5KYR1	unreviewed	Homo sapiens (Human)
ENSG00000181555	A0A8I5QJW6	unreviewed	Homo sapiens (Human)
ENSG00000181555	C9JG86	unreviewed	Homo sapiens (Human)
ENSG00000181555	H7BXT4	unreviewed	Homo sapiens (Human)
ENSG00000181555	H7BZ93	unreviewed	Homo sapiens (Human)
ENSG00000181555	H7C3H4	unreviewed	Homo sapiens (Human)
ENSMUSG00000044791	E9Q5F9	reviewed	Mus musculus (Mouse)
ENSMUSG00000044791	A0A0G2JDY1	unreviewed	Mus musculus (Mouse)
ENSMUSG00000044791	A0A0G2JDZ6	unreviewed	Mus musculus (Mouse)
ENSMUSG00000044791	A0A0G2JEW8	unreviewed	Mus musculus (Mouse)
ENSMUSG00000044791	A0A0G2JEZ4	unreviewed	Mus musculus (Mouse)
ENSMUSG00000044791	A0A0G2JH06	unreviewed	Mus musculus (Mouse)
ENSG00000163382	Q8NCW5	reviewed	Homo sapiens (Human)
ENSG00000163382	A0A7P0T9Y2	unreviewed	Homo sapiens (Human)
ENSG00000163382	A0A7P0TA18	unreviewed	Homo sapiens (Human)
ENSG00000163382	A0A7P0TAG8	unreviewed	Homo sapiens (Human)
ENSG00000163382	A0A7P0Z426	unreviewed	Homo sapiens (Human)
ENSG00000163382	Q5T3I3	unreviewed	Homo sapiens (Human)
ENSG00000163382	Q5T3I4	unreviewed	Homo sapiens (Human)
ENSMUSG00000028070	Q8K4Z3	reviewed	Mus musculus (Mouse)
ENSG00000213995	Q8IW45	reviewed	Homo sapiens (Human)
ENSG00000213995	A0A7P0T906	unreviewed	Homo sapiens (Human)
ENSG00000213995	A0A7P0T9D8	unreviewed	Homo sapiens (Human)
ENSG00000213995	A0A7P0T9R3	unreviewed	Homo sapiens (Human)
ENSG00000213995	A0A7P0TAU0	unreviewed	Homo sapiens (Human)
ENSMUSG00000031505	J3QMM7	unreviewed	Mus musculus (Mouse)
ENSMUSG00000031505	J3QN06	unreviewed	Mus musculus (Mouse)
ENSMUSG00000031505	J3QPU6	unreviewed	Mus musculus (Mouse)
ENSMUSG00000031505	K3W4M4	unreviewed	Mus musculus (Mouse)
